
Time,RelativeHumidity,Temperature,Resistance
0,20,25,1700
1,20.124,25.0083,1686.12
2,20.248,25.0166,1672.24
3,20.372,25.0249,1658.36
4,20.496,25.0332,1644.48
5,20.62,25.0415,1630.6
6,20.744,25.0498,1616.72
7,20.868,25.0581,1602.84
8,20.992,25.0664,1588.96
9,21.116,25.0747,1575.08
10,21.24,25.083,1561.2
11,21.364,25.0913,1547.32
12,21.488,25.0996,1533.44
13,21.612,25.1079,1519.56
14,21.736,25.1162,1505.68
15,21.86,25.1245,1491.8
16,21.984,25.1328,1477.92
17,22.108,25.1411,1464.04
18,22.232,25.1494,1450.16
19,22.356,25.1577,1436.28
20,22.48,25.166,1422.4
21,22.604,25.1743,1408.52
22,22.728,25.1826,1394.64
23,22.852,25.1909,1380.76
24,22.976,25.1992,1366.88
25,23.1,25.2075,1353
26,23.224,25.2158,1339.12
27,23.348,25.2241,1325.24
28,23.472,25.2324,1311.36
29,23.596,25.2407,1297.48
30,23.72,25.249,1283.6
31,23.844,25.2573,1269.72
32,23.968,25.2656,1255.84
33,24.092,25.2738999999999,1241.96
34,24.216,25.2821999999999,1228.08
35,24.34,25.2904999999999,1214.2
36,24.464,25.2987999999999,1075
37,24.588,25.3070999999999,950
38,24.712,25.3153999999999,825
39,24.836,25.3236999999999,700
40,24.96,25.3319999999999,575
41,25.084,25.3402999999999,450
42,25.208,25.3485999999999,325
43,25.3319999999999,25.3568999999999,200
44,25.4559999999999,25.3651999999999,200
45,25.5799999999999,25.3734999999999,200
45,25.7039999999999,25.3817999999999,200
46,25.8279999999999,25.3900999999999,200
47,25.9519999999999,25.3983999999999,200
48,26.0759999999999,25.4066999999999,200
49,26.1999999999999,25.4149999999999,200
50,26.3239999999999,25.4232999999999,200
51,26.4479999999999,25.4315999999999,200
52,26.5719999999999,25.4398999999999,200
53,26.6959999999999,25.4481999999999,200
54,26.8199999999999,25.4564999999999,200
55,26.9439999999999,25.4647999999999,200
56,27.0679999999999,25.4730999999999,200
57,27.1919999999999,25.4813999999999,200
58,27.3159999999999,25.4896999999999,200
59,27.4399999999999,25.4979999999999,200
60,27.5639999999999,25.5062999999999,200
61,27.6879999999999,25.5145999999999,200
62,27.8119999999999,25.5228999999999,200
63,27.9359999999999,25.5311999999999,200
64,28.0599999999999,25.5394999999999,200
65,28.1839999999999,25.5477999999999,200
66,28.3079999999999,25.5560999999999,200
67,28.4319999999999,25.5643999999999,200
68,28.5559999999999,25.5726999999999,200
69,28.6799999999999,25.5809999999999,200
70,28.8039999999999,25.5892999999999,200
71,28.9279999999999,25.5975999999999,200
72,29.0519999999999,25.6058999999999,278.94
73,29.1759999999999,25.6141999999999,357.88
74,29.2999999999999,25.6224999999999,436.82
75,29.4239999999999,25.6307999999999,515.76
76,29.5479999999999,25.6390999999999,594.7
77,29.6719999999999,25.6473999999999,673.64
78,29.7959999999999,25.6556999999999,752.58
79,29.9199999999999,25.6639999999999,831.52
80,30.0439999999999,25.6722999999999,910.46
81,30.1679999999999,25.6805999999999,989.4
82,30.2919999999999,25.6888999999999,1068.34
83,30.4159999999999,25.6971999999999,1147.28
84,30.5399999999999,25.7054999999999,1226.22
85,30.6639999999999,25.7137999999999,1305.16
86,30.7879999999999,25.7220999999999,1384.1
87,30.9119999999999,25.7303999999999,1463.04
88,31.0359999999999,25.7386999999999,1541.98
89,31.1599999999999,25.7469999999999,1620.92
90,31.2839999999999,25.7552999999999,1699.86
90,31.4079999999999,25.7635999999999,1700
91,31.5319999999999,25.7718999999999,1700
92,31.6559999999999,25.7801999999999,1700
93,31.7799999999999,25.7884999999999,1700
94,31.9039999999999,25.7967999999999,1700
95,32.0279999999999,25.8050999999998,1700
96,32.1519999999999,25.8133999999998,1700
97,32.2759999999999,25.8216999999998,1700
98,32.3999999999999,25.8299999999998,1700
99,32.5239999999999,25.8382999999998,1700
100,32.6479999999999,25.8465999999998,1700
101,32.7719999999999,25.8548999999998,1700
102,32.8959999999999,25.8631999999998,1700
103,33.0199999999999,25.8714999999998,1700
104,33.1439999999999,25.8797999999998,1700
105,33.2679999999999,25.8880999999998,1700
106,33.3919999999999,25.8963999999998,1700
107,33.5159999999999,25.9046999999998,1700
108,33.6399999999999,25.9129999999998,1700
109,33.7639999999999,25.9212999999998,1700
110,33.8879999999999,25.9295999999998,1700
111,34.0119999999999,25.9378999999998,1700
112,34.1359999999999,25.9461999999998,1700
113,34.2599999999999,25.9544999999998,1700
114,34.3839999999999,25.9627999999998,1700
115,34.5079999999999,25.9710999999998,1700
116,34.6319999999999,25.9793999999998,1700
117,34.7559999999999,25.9876999999998,1700
118,34.8799999999999,25.9959999999998,1700
119,35.0039999999999,26.0042999999998,1700
120,35.1279999999999,26.0125999999998,1700
121,35.2519999999999,26.0208999999998,1700
122,35.3759999999999,26.0291999999998,1700
123,35.4999999999998,26.0374999999998,1700
124,35.6239999999998,26.0457999999998,1700
125,35.7479999999999,26.0540999999998,1700
126,35.8719999999998,26.0623999999998,1700
127,35.9959999999998,26.0706999999998,1700
128,36.1199999999998,26.0789999999998,1700
129,36.2439999999998,26.0872999999998,1700
130,36.3679999999998,26.0955999999998,1700
131,36.4919999999998,26.1038999999998,1512.5
132,36.6159999999998,26.1121999999998,1325
133,36.7399999999998,26.1204999999998,1137.5
134,36.8639999999998,26.1287999999998,950
135,36.9879999999998,26.1370999999998,762.5
136,37.1119999999998,26.1453999999998,575
137,37.2359999999998,26.1536999999998,387.5
138,37.3599999999998,26.1619999999998,200
139,37.4839999999998,26.1702999999998,200
140,37.6079999999998,26.1785999999998,200
141,37.7319999999998,26.1868999999998,200
142,37.8559999999998,26.1951999999998,200
143,37.9799999999998,26.2034999999998,200
144,38.1039999999998,26.2117999999998,200
145,38.2279999999998,26.2200999999998,200
146,38.3519999999998,26.2283999999998,200
147,38.4759999999998,26.2366999999998,200
148,38.5999999999998,26.2449999999998,200
149,38.7239999999998,26.2532999999998,200
150,38.8479999999998,26.2615999999998,200
