S Incu No,Incubator type,Prestudyho1,Prestudyho2,Prestudyho3,Prestudyho4,Prestudyho5,Prestudyho6,Prestudyho7,Prestudyho8,Prestudyho9,Prestudyho10,Prestudyho11,Prestudyho12
BA,2,0,10,30,30,40,10,10,10,50,30,10,10
AC,1,10,50,20,10,50,10,20,10,10,30,50,10
AD,1,10,10,40,50,50,10,50,30,30,10,50,10
BE,2,30,30,30,10,30,30,10,30,30,30,30,10
AF,1,50,50,40,20,40,50,10,50,10,30,30,30
BF,2,30,30,30,40,50,10,40,40,40,10,50,20
AH,1,40,10,20,50,20,40,10,30,10,50,30,10
BG,2,40,0,40,30,30,40,10,30,10,30,40,10
BK,2,40,10,30,40,30,40,10,50,10,40,40,30
AJ,1,40,50,0,20,20,40,10,20,20,20,50,10
AK,1,10,10,20,0,10,10,10,50,50,50,10,0
BI,2,30,10,10,50,40,40,30,40,10,50,10,20
AL,1,50,10,10,10,50,10,50,10,50,20,10,10
BL,2,10,10,40,10,40,10,10,10,10,10,40,10
AN,1,10,10,10,0,10,10,10,10,10,50,50,50
BM,2,10,20,40,10,10,10,10,10,10,40,30,20
AM,1,10,10,40,20,20,10,20,30,30,30,30,0
AP,1,10,10,50,10,10,20,20,50,10,50,20,10
BP,2,10,0,10,10,20,10,10,40,10,40,30,20
BQ,2,20,40,10,10,40,40,20,10,20,30,40,30
AT,1,10,50,60,20,50,60,20,60,10,50,50,50
BS,2,20,40,30,40,30,40,20,40,30,40,40,20
AW,1,10,40,40,60,40,50,50,50,50,20,30,10
BW,2,40,50,30,40,50,40,30,10,10,10,20,30
AAA,1,10,10,10,40,50,40,50,20,50,50,10,50
BBA,2,40,30,40,20,20,40,20,10,10,30,40,30
AAE,1,50,40,20,10,20,20,50,30,20,30,30,10
BBE,2,10,40,10,0,10,40,40,30,10,30,30,20
AAE,1,50,40,40,20,40,50,20,30,10,30,50,10
BBH,2,40,40,40,30,40,40,30,40,10,10,30,20
AAH,1,0,50,20,50,2,50,60,20,30,60,60,0
BBG,2,20,40,10,30,20,40,30,20,40,30,20,20
BBJ,2,20,40,10,40,30,40,10,30,10,10,20,40
AAK,1,50,10,10,50,10,10,50,10,10,10,30,10
AAP,1,10,60,10,50,20,10,60,10,30,30,10,10
BBO,2,10,10,10,40,10,20,10,10,20,50,20,20
AAQ,1,10,10,10,40,10,50,10,10,50,50,10,0
BBP,2,10,30,20,20,30,30,30,40,50,10,20,10
AAR,1,40,10,50,100,50,40,20,50,50,10,50,0
BBQ,2,40,40,40,30,20,40,30,40,10,30,20,10
AAS,1,10,10,10,20,50,50,40,50,30,30,30,10
AAT,1,40,10,50,20,20,20,10,50,50,50,50,20
BBS,2,20,20,20,40,10,40,10,50,40,30,40,10
BBR,2,20,10,40,40,40,40,20,20,20,40,20,30
AAV,1,10,10,10,50,20,20,40,40,30,20,50,30
BBV,2,40,10,30,30,30,30,40,10,30,10,20,20
AAW,1,50,10,20,50,20,20,10,10,20,20,50,20
BBW,2,10,40,40,10,10,10,40,30,40,40,20,10
AA,1,10,10,20,20,20,10,10,10,20,20,10,10
BB,2,20,40,20,20,50,20,10,20,40,20,20,20
BC,2,40,50,40,20,40,20,10,50,20,20,20,20
AB,1,10,50,50,10,20,20,50,30,20,20,10,10
BD,2,40,60,40,20,20,40,20,20,50,20,20,10
AE,1,10,50,50,20,20,20,20,20,50,10,50,0
AG,1,10,10,20,40,60,60,20,60,50,20,20,20
BH,2,20,20,10,20,30,20,20,20,20,10,20,10
AI,1,10,10,50,20,20,10,50,10,10,50,50,20
BJ,2,40,20,20,20,40,50,40,20,20,40,40,20
AO,1,10,50,40,20,40,20,20,30,30,50,30,0
BN,2,20,20,40,20,40,30,40,20,10,40,40,20
BO,2,10,30,20,10,20,10,40,20,20,20,20,10
AR,1,10,10,10,50,20,20,20,10,50,10,10,0
BR,2,10,30,20,10,20,40,40,10,30,10,20,20
