Study ID,S Incu No,Incubator type,Set Incu temp,Incubator humidity 1,Incubator humidity 2,Incubator humidity 3,Incubator humidity 4,Incubator humidity 5,Incubator humidity 6,Incubator humidity 7,Incubator humidity 8,Incubator humidity 9,Incubator humidity 10,Incubator humidity 11,Incubator humidity 12,Incubator humidity 13,Incubator humidity 14,Incubator humidity 15,Incubator humidity 16,Incubator humidity 17,Incubator humidity 18,Incubator humidity 19,Incubator humidity 20
101,BA,2,34.5,41,29,38,39,40,40,38,34,42,37,34,33,71,71,70,69,69,70,54,60
102,AC,1,33,52,60,66,60,55,56,54,72,70,72,63,64,69,55,55,52,53,61,67,59
103,AD,1,33,44,34,36,37,33,48,39,59,57,57,56,60,67,62,63,55,55,67,69,64
104,BE,2,33.5,37,47,48,39,35,41,40,60,61,59,56,56,52,52,54,51,49,49,48,48
105,AF,1,33,57,54,59,38,67,68,57,42,35,35,40,31,51,50,61,60,59,65,61,67
106,BF,2,34.5,38,50,39,39,37,46,40,50,55,24,26,23,60,51,62,66,62,64,58,52
107,AH,1,33,63,62,69,44,67,64,60,36,39,30,33,36,67,67,66,64,65,62,67,66
108,BG,2,34.5,39,37,40,42,37,38,37,44,33,35,45,39,64,59,57,62,64,61,66,59
109,BK,2,34,37,35,40,41,40,45,37,42,34,32,30,31,64,64,65,64,59,61,62,61
110,AJ,1,33,42,42,60,72,72,76,63,40,45,36,39,35,65,64,66,64,62,63,64,60
111,AK,1,34,64,66,65,70,61,62,67,41,33,31,32,33,31,32,32,33,33,41,40,30
112,BI,2,34,39,44,54,41,42,41,41,36,41,36,37,36,36,39,35,34,42,37,34,34
113,AL,1,33,55,67,64,62,65,66,65,32,40,32,31,33,55,59,60,61,67,79,60,65
114,BL,2,33,52,71,73,69,72,73,77,37,45,40,32,40,65,46,68,72,71,73,66,64
115,AN,1,34,70,69,66,69,66,64,64,30,32,30,37,32,64,58,57,57,60,57,61,60
116,BM,2,34,62,70,68,67,63,66,67,36,40,33,40,49,58,52,57,63,60,58,50,59
117,AM,1,33.5,36,39,42,39,37,41,42,55,51,42,65,65,65,64,66,64,62,63,64,60
118,AP,1,33.5,68,72,71,73,72,68,62,67,70,72,64,62,64,64,65,64,59,61,62,61
119,BP,2,34.5,76,72,62,62,62,65,67,67,66,63,64,66,64,59,57,62,64,61,66,59
120,BQ,2,34,40,37,36,30,39,35,40,48,51,32,60,63,67,67,66,64,65,62,67,66
121,AT,1,33.5,65,67,76,66,60,62,66,56,66,64,58,52,57,63,60,58,42,39,37,41
122,BS,2,33.5,66,75,74,74,72,78,67,41,75,74,55,59,60,61,67,79,36,30,29,35
123,AW,1,33,64,63,66,64,56,57,60,56,56,54,63,52,61,60,62,64,65,64,63,63
124,BW,2,33.5,41,36,34,43,31,40,38,39,38,34,35,36,31,36,31,32,34,37,33,39
125,AAA,1,34,57,68,63,67,65,46,68,72,71,73,62,62,62,65,67,67,66,63,62,45
126,BBA,2,34.5,31,26,28,34,31,32,32,33,33,41,71,59,56,57,60,59,58,60,57,55
127,AAE,1,33.5,66,57,58,58,58,52,57,63,60,58,42,39,37,41,42,55,51,42,42,40
128,BBE,2,35,56,60,59,56,55,59,60,61,67,79,36,30,29,35,30,48,51,32,30,31
129,AAE,1,33,68,63,67,65,46,68,72,71,73,66,59,38,67,68,57,57,59,57,66,65
130,BBH,2,33,58,62,66,66,64,58,57,57,60,57,71,73,72,68,62,67,70,72,72,72
131,AAH,1,33,57,58,58,58,52,57,63,60,58,50,69,64,67,64,60,65,65,65,67,60
132,BBG,2,34,60,59,56,55,59,60,61,67,79,60,40,42,37,38,37,45,36,38,38,36
133,BBJ,2,33,56,54,59,57,65,71,57,68,56,50,40,41,40,45,37,35,37,35,35,38
134,AAK,1,34,62,66,66,64,58,57,57,60,57,61,60,72,72,76,63,59,59,69,70,70
135,AAP,1,33.5,46,56,46,56,52,46,56,56,46,57,65,70,61,62,67,68,68,69,71,73
136,BBO,2,33.5,30,44,36,34,46,44,56,44,56,62,54,41,42,41,41,51,62,44,39,32
137,AAQ,1,34,45,44,50,51,50,53,54,53,52,51,64,62,65,66,65,69,77,65,68,69
138,BBP,2,34.5,57,56,57,68,68,52,34,59,60,60,73,69,72,73,77,73,69,64,78,78
139,AAR,1,33,32,36,40,33,34,34,40,32,36,31,66,69,66,64,64,62,66,69,61,60
140,BBQ,2,34,61,59,55,57,52,55,53,50,52,51,68,67,63,66,67,70,70,67,64,63
141,AAS,1,33,68,57,56,57,68,68,52,34,59,60,60,60,67,65,46,68,72,71,73,66
142,AAT,1,33,40,45,44,50,51,50,53,54,53,52,51,55,56,55,59,60,61,67,79,60
143,BBS,2,33.5,62,62,62,54,56,62,56,62,59,65,68,69,69,66,67,72,70,72,63,64
144,BBR,2,34,37,30,52,39,37,31,41,31,31,32,36,35,34,37,34,34,42,37,34,33
145,AAV,1,33.5,36,32,36,40,33,34,34,40,32,36,31,29,66,64,58,57,57,60,57,61
146,BBV,2,35,52,61,59,55,57,52,55,53,50,52,51,59,58,58,52,57,63,60,58,50
147,AAW,1,33,31,37,30,52,27,27,31,31,31,31,32,39,36,34,46,44,56,44,56,62
