Study ID,S Incu No,Incubator type,Set Incu temp,Measured incu temp1,Measured incu temp2,Measured incu temp3,Measured incu temp4,Measured incu temp5,Measured incu temp6,Measured incu temp7,Measured incu temp8,Measured incu temp9,Measured incu temp10,Measured incu temp11,Measured incu temp12,Measured incu temp13,Measured incu temp14,Measured incu temp15,Measured incu temp16,Measured incu temp17,Measured incu temp18,Measured incu temp19,Measured incu temp20
101,BA,2,74,34.8,34.4,34.5,34.7,34.5,34.6,34.4,34.2,34.1,34,34.5,34.7,34.5,34.6,34.4,34.2,34.1,34,34.9,34.7
102,AC,1,74,32.8,33,33.1,32.7,33,33.1,33.3,33.2,33.5,33,32.9,32.5,33.1,33.1,32.6,33.1,32.8,32.8,32.9,33
103,AD,1,74,33.2,33.5,33,32.9,33.1,32.7,33,33.1,33.3,33.2,33.5,32.8,33.1,32.5,33.1,33.1,32.6,33.1,32.8,32.8
104,BE,2,49,33.2,33.3,33.7,33.8,34,33.8,33.2,33.4,33.5,33.9,33.6,33.6,33.7,33.5,33.2,33.4,33.2,33.8,33.9,33.5
105,AF,1,73,33.1,33.2,33.1,33.2,33.2,33.4,33.1,32.9,32.8,33,33.2,33,33,33.2,32.9,33,33.6,33.1,33,33.2
106,BF,2,73,34.6,34.7,34.5,34.3,34.4,34.2,34.8,34.7,34.8,34.7,34.6,34.7,34.4,34.4,34.3,34.3,34.2,34.2,34.1,34.3
107,AH,1,71,33.2,33.5,33.6,33.8,33.7,34,33.3,33.3,33.5,33.6,33.2,33.5,33.6,33.8,33.7,34,33.3,33.6,33,33.6
108,BG,2,49,34.8,34.2,34.9,34.3,34.3,34.2,34.9,34.7,34.5,34.8,34.5,34.7,34.2,34.2,34.3,34.9,34.5,34.8,34.2,34.6
109,BK,2,45,33.9,33.8,34,33.9,33.7,34,33.7,34.1,34.2,33.7,33.9,34,34.3,34.2,34.4,34.5,33.7,33.8,34,34.1
110,AJ,1,45,32.9,33,32.9,33.1,33,33.1,33.3,33.2,33.5,33,32.9,32.5,33.1,33.1,32.7,33,33.1,32.9,32.5,33.1
111,AK,1,36,34.1,34.2,34,34.6,33.7,33.8,33.7,33.4,33.6,33.7,33.9,34,34.2,34.2,34.5,34.2,34.1,34.2,34,33.9
112,BI,2,45,34.2,34.1,34,33.9,33.8,33.8,33.7,33.9,33.6,33.7,34.1,34.1,34.2,34.7,34.2,4.2,34.1,33.9,33.9,33.8
113,AL,1,75,33.3,33,32.8,33,33.3,32.7,33,32.9,33.1,33.3,33.1,33.4,32.8,33,32.7,32.9,33.1,33.4,33.3,33
114,BL,2,70,33.3,33,32.9,32.9,33.2,32.8,32.9,32.8,33.1,33.2,32.9,33.3,33.3,32.9,32.7,32.9,32.9,32.9,33.1,33
115,AN,1,49,33.9,33.8,34.1,34.2,33.9,34.3,34.3,33.9,33.7,33.9,34,34.2,34.3,33.7,33.8,34.1,34,33.9,34.2,34.1
116,BM,2,80,33.9,33.7,34,34.2,33.7,34.2,33.8,33.6,33.8,33.8,33.8,34.3,34,34.1,34.2,34.3,34.3,34.2,34,33.9
117,AM,1,50,33.5,33.4,33.8,33.9,33.3,33.2,33.3,33.5,33.4,33.8,33.7,33.5,33.4,33.5,33.6,33.8,33.3,33.9,33.8,33.2
118,AP,1,71,33.5,33.2,33.2,33.4,33.7,33.8,33.5,33.6,33.2,33.4,33.5,33.5,33.6,33.7,33.9,33.8,33.5,33.5,33.6,33.7
119,BP,2,73,34.7,34.9,34.6,34.7,34.8,34.7,35.1,34.3,34.3,34,34.4,34.3,34.4,34.1,34.2,34.2,34.4,34.5,34.7,34.6
120,BQ,2,67,33.8,34.1,34,34.3,33.7,34,33.8,34,34.1,33.8,34,33.9,34,34.1,34,34.3,33.7,33.8,33.9,34.1
121,AT,1,67,33.6,33.4,33.3,33.4,33.5,33.7,33.8,33.5,33.6,33.7,33.7,33.8,33.5,33.4,33.5,33.6,33.7,33.4,33.5,33.4
122,BS,2,71,32.5,33.4,33.2,33.6,33.5,33.7,33.8,33.5,33.4,33.4,33.7,33.4,33.2,33.4,33.2,33.4,33.6,33.4,33.4,33.5
123,AW,1,45,33.1,33.2,32.9,32.8,32.6,32.9,33.3,33.2,33.1,33,33.2,32.9,32.8,33.2,33.2,33.1,33.3,32.8,32.7,32.9
124,BW,2,45,33.7,33.6,33.9,33.3,33.4,33.2,33.4,33.3,33.4,33.6,33.5,33.9,33.1,33.4,33.9,33.7,33.6,33.7,33.3,33.4
125,AAA,1,65,33.6,33.9,34.3,34.2,34.1,34,34.2,33.9,33.8,34.2,34.2,34.2,33.5,33.8,33.4,33.9,33.9,33.8,33.8,33.8
126,BBA,2,52,34.5,34.6,34.4,34.1,34.5,34.8,34.5,34,34.5,34.6,34.6,34.2,34.9,34.7,34.2,34.9,34.9,34.5,34.6,34.7
127,AAE,1,60,33.5,33.4,33.3,33.5,33.7,33.8,33.5,33.4,33.6,33.8,33.4,33.2,33.4,33.5,33.5,33.7,33.6,33.8,33.5,33.4
128,BBE,2,74,35.1,34.9,35,35,35.2,35.3,35.2,34.7,34.9,34.9,35.1,35,35.4,34.9,34.7,35,34.9,35,35.1,34.7
129,AAE,1,48,32.7,32.9,33,33,33.2,33.1,33.3,33,32.9,33,33.2,33,32.9,33.1,33.1,33.3,33.2,33.2,33.1,33
130,BBH,2,73,32.9,33,33,32.9,32.9,33.1,33.3,32.7,32.8,33,33.1,33.2,32.9,33,33.1,32.7,32.9,33.1,33.2,33
