Study ID,S Incu No,Incubator type,Set Incu temp,Room humidity1,Room humidity2,Room humidity3,Room humidity4,Room humidity5,Room humidity6,Room humidity7,Room humidity8,Room humidity9,Room humidity10,Room humidity11,Room humidity12,Room humidity13,Room humidity14,Room humidity15,Room humidity16,Room humidity17,Room humidity18,Room humidity19,Room humidity20
101,BA,2,34.5,46,49,48,49,46,46,45,47,54,46,45,42,78,75,76,73,72,72,75,74
102,AC,1,33,50,48,46,49,47,50,49,46,46,48,54,47,78,78,77,73,72,72,76,74
103,AD,1,33,45,56,46,46,45,58,46,48,44,45,44,46,78,78,77,74,72,72,75,74
104,BE,2,33.5,64,54,60,67,67,69,57,57,53,66,67,67,45,46,46,45,47,43,42,49
105,AF,1,33,47,46,48,53,47,46,48,57,53,47,44,43,74,75,73,75,77,75,76,73
106,BF,2,34.5,66,65,77,74,76,67,68,72,74,75,77,70,74,75,72,75,77,74,59,73
107,AH,1,33,60,58,71,82,82,83,73,63,68,79,80,80,46,48,47,46,54,54,56,71
108,BG,2,34.5,45,47,52,51,47,53,45,44,45,26,26,48,48,49,47,40,43,38,54,49
109,BK,2,34,45,42,67,50,47,46,42,54,66,44,40,41,49,59,43,30,30,50,45,45
110,AJ,1,33,75,72,72,77,67,67,76,77,76,77,73,81,49,52,47,39,49,50,45,45
111,AK,1,34,55,76,77,76,77,73,83,77,81,72,76,79,49,50,42,41,42,40,45,36
112,BI,2,34,67,76,77,76,77,73,72,77,81,72,74,79,62,59,48,45,60,42,49,45
113,AL,1,33,48,49,57,39,43,45,40,54,41,41,41,42,77,82,80,79,77,75,70,75
114,BL,2,33,45,44,42,40,47,40,39,41,41,42,50,45,76,77,74,74,66,72,77,70
115,AN,1,34,46,54,50,50,50,46,47,52,50,47,58,57,46,45,44,47,47,47,47,49
116,BM,2,34,46,48,43,42,44,44,42,45,43,42,52,54,79,77,76,79,69,72,77,80
117,AM,1,33.5,50,51,47,52,56,46,51,45,52,51,50,45,46,45,44,41,47,50,45,50
118,AP,1,33.5,50,54,64,67,71,55,55,51,58,61,70,56,58,68,64,69,66,45,71,71
119,BP,2,34.5,52,54,67,72,71,73,67,70,73,60,58,55,67,73,73,69,70,75,76,73
120,BQ,2,34,57,42,56,54,55,54,56,55,52,55,56,58,62,60,69,67,67,60,66,67
121,AT,1,33.5,57,51,52,61,66,62,63,54,54,67,69,62,62,63,66,66,66,53,66,67
122,BS,2,33.5,65,66,69,66,66,54,69,66,64,64,60,55,65,71,72,75,71,60,54,71
123,AW,1,33,62,65,66,55,49,49,63,66,62,65,69,62,50,46,45,44,52,44,62,45
124,BW,2,33.5,60,66,67,66,58,57,68,68,61,67,59,59,50,45,58,44,58,52,45,45
125,AAA,1,34,71,62,67,60,77,76,76,71,74,75,77,77,61,61,69,61,61,59,65,65
126,BBA,2,34.5,66,74,76,73,72,70,69,72,70,72,73,67,45,65,64,67,64,59,66,52
127,AAE,1,33.5,66,74,74,72,72,72,68,72,69,77,78,73,65,64,67,67,58,66,60,60
128,BBE,2,35,70,72,66,67,54,59,70,65,58,70,65,58,76,79,69,72,77,80,76,74
129,AAE,1,33,36,45,46,44,40,37,36,40,39,47,37,36,44,41,47,50,45,50,45,48
130,BBH,2,33,70,72,65,65,67,60,62,60,62,55,56,48,64,69,66,45,71,71,70,73
131,AAH,1,33,66,64,65,65,64,52,66,72,50,50,42,69,73,69,70,75,76,73,71,67
132,BBG,2,34,36,45,45,43,44,37,37,40,37,47,49,38,69,67,67,60,66,67,65,70
133,BBJ,2,33,45,41,60,68,67,60,48,61,67,50,54,66,66,66,66,53,66,67,65,64
134,AAK,1,34,60,69,65,65,64,68,66,72,60,71,69,69,72,75,71,60,54,71,66,73
135,AAP,1,33.5,54,52,49,40,39,30,47,30,47,44,37,38,45,44,52,44,62,45,69,63
136,BBO,2,33.5,31,48,60,68,67,67,60,60,50,46,66,71,58,44,58,52,45,45,45,69
137,AAQ,1,34,56,52,50,40,39,40,47,44,36,38,39,38,69,61,61,59,65,65,65,75
138,BBP,2,34.5,30,52,55,41,40,51,40,51,46,39,41,40,64,67,64,59,66,52,54,67
139,AAR,1,33,47,54,56,54,67,50,64,69,54,56,54,62,67,67,58,66,60,60,60,66
140,BBQ,2,34,49,54,49,67,54,70,50,50,64,69,66,62,34,40,31,43,40,40,42,42
141,AAS,1,33,58,68,64,69,66,45,71,71,70,73,72,68,66,67,54,59,70,65,58,70
142,AAT,1,33,67,73,73,69,70,75,76,73,71,67,69,75,46,44,40,37,36,40,39,47
143,BBS,2,33.5,62,60,69,67,67,60,66,67,65,70,64,58,65,65,67,60,62,60,62,55
144,BBR,2,34,62,63,66,66,66,53,66,67,65,64,64,58,65,65,64,52,66,72,50,50
145,AAV,1,33.5,65,71,72,75,71,60,54,71,66,73,67,62,45,43,44,37,37,40,37,47
146,BBV,2,35,50,46,45,44,52,44,62,45,69,63,62,60,60,68,67,60,48,61,67,50
147,AAW,1,33,50,45,58,44,58,52,45,45,45,69,61,62,65,65,64,68,66,72,60,71
148,BBW,2,33,61,61,69,61,61,59,65,65,65,75,74,75,49,40,39,30,47,30,47,44
201,AA,1,34,45,65,64,67,64,59,66,52,54,67,64,70,60,68,67,67,60,60,50,46
202,BB,2,34.5,65,64,67,67,58,66,60,60,60,66,64,69,50,40,39,40,47,44,36,38
203,BC,2,35,40,31,34,40,31,43,40,40,42,42,42,43,55,41,40,51,40,51,46,39
204,AB,1,33,70,72,66,67,54,59,70,65,58,70,65,58,56,54,67,50,64,69,54,56
205,BD,2,34.5,36,45,46,44,40,37,36,40,39,47,37,36,49,67,54,70,50,50,64,69
206,AE,1,33.5,70,72,65,65,67,60,62,60,62,55,56,48,66,66,66,53,66,67,65,64
207,AG,1,33,66,64,65,65,64,52,66,72,50,50,42,69,72,75,71,60,54,71,66,73
208,BH,2,34.5,69,67,67,60,66,67,65,70,64,58,60,66,67,66,58,57,68,68,61,67
209,AI,1,34,66,66,66,53,66,67,65,64,64,58,71,62,67,60,77,76,76,71,74,75
210,BJ,2,34,72,75,71,60,54,71,66,73,67,62,66,74,76,73,72,70,69,72,70,72
211,AO,1,32.5,45,44,52,44,62,45,69,63,62,60,66,74,74,72,72,72,68,72,69,77
212,BN,2,34,58,44,58,52,45,45,45,69,61,62,45,45,46,46,45,47,43,42,48,42
213,BO,2,33,69,61,61,59,65,65,65,75,74,75,48,48,52,51,47,50,48,47,44,48
214,AR,1,33,64,67,64,59,66,52,54,67,64,70,74,75,73,74,62,74,75,78,72,65
215,BR,2,34,67,67,58,66,60,60,60,66,64,69,78,78,71,74,75,74,78,77,78,78
216,AQ,1,33.5,34,40,31,43,40,40,42,42,42,43,76,70,71,74,75,75,79,77,78,79
217,BT,2,33.5,66,67,54,59,70,65,58,70,65,58,77,78,75,74,75,74,69,77,78,79
